0,-0.3
0.02,-0.3
0.04,0
0.06,0.3
0.08,0.3
0.1,0.3
0.12,0.3
0.14,0.3
0.16,0.3
0.18,0.3
0.2,0.3
0.22,0.3
0.24,0.3
0.26,0.3
0.28,0.3
0.3,0
0.32,0
0.34,0
0.36,-0.3
0.38,-0.3
0.4,-0.3
0.42,0
0.44,0.3
0.46,0.3
0.48,0.3
0.5,0.3
0.52,0.3
0.54,0.3
0.56,0.3
0.58,0.3
0.6,0
0.62,0
0.64,-0.3
0.66,-0.6
0.68,-2.1
0.7,-3.3
0.72,-3.6
0.74,-4.2
0.76,-3.6
0.78,-1.8
0.8,-1.8
0.82,-1.5
0.84,-1.2
0.86,-3.6
0.88,-10.2
0.9,-14.9
0.92,-10.8
0.94,-9
0.96,-11.7
0.98,-4.5
1,7.5
1.02,7.2
1.04,-3.3
1.06,-19.7
1.08,-28.7
1.1,-17.3
1.12,-3.3
1.14,-9
1.16,-4.2
1.18,32.6
1.2,35.3
1.22,-20
1.24,-63.4
1.26,-56.5
1.28,-35.9
1.3,-40.7
1.32,-25.1
1.34,2.1
1.36,-4.8
1.38,-45.2
1.4,-92.7
1.42,-56.5
1.44,25.4
1.46,46.9
1.48,44.6
1.5,92.4
1.52,136.7
1.54,82.2
1.56,66.4
1.58,40.1
1.6,-64.9
1.62,-110.4
1.64,4.5
1.66,148.9
1.68,22.1
1.7,-80.2
1.72,44.3
1.74,158.8
1.76,244
1.78,366.1
1.8,382.8
1.82,201.3
1.84,35.9
1.86,-17.9
1.88,0.3
1.9,147.7
1.92,34.1
1.94,-400.5
1.96,-496.2
1.98,-360.1
2,-219.5
2.02,-96
2.04,-8.7
2.06,3.9
2.08,-206.1
2.1,-312.8
2.12,-248.5
2.14,-140
2.16,36.8
2.18,109.8
2.2,-20.9
2.22,-167.2
2.24,-163.3
2.26,-127.1
2.28,-99
2.3,-45.2
2.32,-40.4
2.34,-58
2.36,-135.2
2.38,-266.5
2.4,-206.1
2.42,241
2.44,652.9
2.46,447.1
2.48,8.7
2.5,-148.3
2.52,73.3
2.54,304.2
2.56,134
2.58,-119.6
2.6,-240.2
2.62,-283.8
2.64,-140.3
2.66,-106.2
2.68,-53.5
2.7,134.6
2.72,183
2.74,279.3
2.76,330.5
2.78,314.9
2.8,399.9
2.82,85.8
2.84,-234.2
2.86,-388.5
2.88,-261.1
2.9,268.9
2.92,210.2
2.94,93
2.96,154
2.98,137
3,253
3.02,73.3
3.04,-173.5
3.06,-236.3
3.08,-208.2
3.1,-126.2
3.12,-284.7
3.14,-284.7
3.16,-155.8
3.18,-150.4
3.2,65.2
3.22,223.7
3.24,216.2
3.26,159.4
3.28,-7.5
3.3,-44.3
3.32,159.4
3.34,250.6
3.36,182.1
3.38,167.2
3.4,166
3.42,-94.2
3.44,-247
3.46,-28.1
3.48,364.6
3.5,288.6
3.52,-220.7
3.54,-405.2
3.56,-136.7
3.58,42.5
3.6,-133.1
3.62,-256.3
3.64,123.2
3.66,422.3
3.68,0.9
3.7,-601.1
3.72,-699.8
3.74,-137.9
3.76,242
3.78,-21.8
3.8,-86.4
3.82,225.8
3.84,452.5
3.86,304.8
3.88,-157.3
3.9,-210.5
3.92,450.4
3.94,871.5
3.96,508.7
3.98,160
4,434
4.02,924.1
4.04,834.4
4.06,157
4.08,-229.1
4.1,-13.5
4.12,242.3
4.14,116.3
4.16,-51.1
4.18,103.8
4.2,525.8
4.22,1105.7
4.24,1702.9
4.26,2080.4
4.28,2315.7
4.3,2631.2
4.32,2942.9
4.34,3175
4.36,3449.5
4.38,3312.8
4.4,2224.2
4.42,825.7
4.44,-333.8
4.46,-1580
4.48,-3272.5
4.5,-4533.6
4.52,-4964.6
4.54,-5036.1
4.56,-5098.3
4.58,-5341.7
4.6,-5858.5
4.62,-6286.2
4.64,-5555.9
4.66,-3499.7
4.68,-1374.8
4.7,-35.6
4.72,651.4
4.74,1333
4.76,1764.2
4.78,1772
4.8,1760.9
4.82,1711
4.84,1455
4.86,964.5
4.88,311.9
4.9,-98.7
4.92,144.4
4.94,616.4
4.96,962.7
4.98,1330
5,1635.3
5.02,1892.5
5.04,2105.8
5.06,2291.8
5.08,2610.3
5.1,3186
5.12,3906.8
5.14,4497.5
5.16,4729.8
5.18,4691.2
5.2,4629.3
5.22,4690
5.24,4724.4
5.26,4238.4
5.28,2963.5
5.3,1203.2
5.32,-566.7
5.34,-2013.4
5.36,-2884.3
5.38,-3425.3
5.4,-3923.8
5.42,-4422.7
5.44,-5103.7
5.46,-5924.6
5.48,-6756
5.5,-7608.1
5.52,-8180.2
5.54,-8101
5.56,-7029.7
5.58,-5206.6
5.6,-3452.2
5.62,-2076.8
5.64,-964.5
5.66,-192.9
5.68,223.1
5.7,698.9
5.72,1484.6
5.74,2241.2
5.76,2782.3
5.78,3242.2
5.8,3370
5.82,3049.9
5.84,2605.8
5.86,2065.7
5.88,1177.4
5.9,78.1
5.92,-707
5.94,-997.4
5.96,-1178.3
5.98,-1422.4
